game_id,game_name,status,ticket_price,overall_odds,top_prize_amount,top_prizes_remaining,top_prizes_total,top_prize_percent_remaining,est_tickets_remaining,est_tickets_total,percent_sold,expected_value,last_updated
1576,"$25,000 Holiday Blowout",ENDED / RETIRED,2,0.0,"$25,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1578,"$500,000 Holiday Blowout",ENDED / RETIRED,10,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1482,Hit $50,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1542,Hit and Win!,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1610,"$50,000 HOLIDAY CA$H",ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
5025,"$1,000,000 Holiday Winnings",ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1577,"$100,000 Holiday Blowout",ENDED / RETIRED,5,0.0,"$100,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
7029,Jaws,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
5014,Joker's Wild,ENDED / RETIRED,2,0.0,"$30,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1496,Hot Dice,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1561,Loteria™ Grande,ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1504,Loteria™,ENDED / RETIRED,2,0.0,"$30,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
5021,Jewel 7s Doubler,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1556,Lucky Green,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1530,Loteria™,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1511,$5 Monopoly™ Doubler,ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1565,MONOPOLY™ SECRET VAULT ,ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1498,Money Money Money,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1502,Perfect 10s,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1487,Payout Tripler,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
7025,Mystery Multiplier,ENDED / RETIRED,10,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:13
1531,Monopoly™ Secret Vault,ENDED / RETIRED,3,0.0,"$100,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
5053,Payday Bonus,ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1558,Triple 777,ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1595,Summer Cash,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1573,Silver Streak,ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1544,"$10,000 Triple Match",ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1545,"$50,000 Triple Match",ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1538,The Game of Life™ ,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
5054,Triple Golden Cherries,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1547,"$2,000,000 Triple Match",ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
5032,Triple Tripler,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
7022,Triple Play,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1507,Wild Dough,ENDED / RETIRED,1,0.0,"$5,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1564,UNO™,ENDED / RETIRED,3,0.0,"$150,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1560,Win Win Win,ENDED / RETIRED,2,0.0,"$50,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1551,10X the Cash,ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1572,Triple Jackpot,ENDED / RETIRED,10,0.0,"$2,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1466,10X the Cash,ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1506,10X the Cash,ENDED / RETIRED,1,0.0,"$10,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1533,"$50,000 a Year for Life",ENDED / RETIRED,2,0.0,"$50,000/Year for Life",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
7020,50X the Cash,ENDED / RETIRED,5,0.0,"$1,000,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1514,Xtreme Crossword,ENDED / RETIRED,5,0.0,"$500,000",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1535,"$250,000 a Year for Life",ENDED / RETIRED,10,0.0,"$250,000/Year for Life",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1529,"$1,000,000 a Year for Life Spectacular",ENDED / RETIRED,50,0.0,"$1,000,000/Year for Life",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
1534,"$150,000 a Year for Life",ENDED / RETIRED,5,0.0,"$150,000/Year for Life",0,0,0.0,0,0,100.0,0.0,2026-09-18 03:10:14
